"ID","CAREX","SALIX","YR","X_L93","Y_L93"
"11,0/14,0",0,0,2022,967125.8,6446662
"11,0/15,0",1,0,2022,967137.7,6446663
"11,0/16,0",0,0,2022,967149.6,6446664
"11,0/17,0",0,1,2022,967161.6,6446664.5
"11,0/18,0",0,1,2022,967173.5,6446666
"11,0/19,0",0,0,2022,967185,6446666.7
"11,0/2,0",0,1,2022,966985,6446650.2
"11,0/3,0",0,0,2022,966995.9,6446651.2
"11,0/4,0",0,0,2022,967008.6,6446651.7
"11,0/5,0",0,0,2022,967020.3,6446652.8
"11,0/6,0",0,0,2022,967032.2,6446653.8
"11,0/7,0",0,0,2022,967043.5,6446655.1
"11,0/8,0",0,0,2022,967055.4,6446656.1
"11,0/9,0",0,0,2022,967067.3,6446657.1
"11,5/1,5",1,0,2022,966980,6446643.3
"11,5/10,5",0,0,2022,967085.2,6446652.2
"11,5/11,5",0,1,2022,967097.1,6446653.2
"11,5/12,5",0,0,2022,967109,6446654.2
"11,5/13,5",0,0,2022,967120.9,6446655.1
"11,5/14,5",1,0,2022,967131.8,6446656.1
"11,5/15,5",1,0,2022,967144.7,6446657.1
"11,5/16,5",0,1,2022,967155.6,6446658.1
"11,5/17,5",0,1,2022,967167.5,6446659.6
"11,5/18,5",0,1,2022,967179.4,6446660.1
"11,5/2,5",0,1,2022,966990.9,6446644.3
"11,5/3,5",0,0,2022,967002.8,6446645.3
"11,5/4,5",0,0,2022,967014.7,6446646.3
