ID;Year;X_L93;Y_L93;Care myos;Sali herb
12.0/18.0;2022;967173,4502;6446654,161;0;0
12.0/2.0;2022;966985,9552;6446638,41;0;1
12.0/3.0;2022;966997,5026;6446639,182;0;0
12.0/4.0;2022;967008,772;6446640,378;0;0
12.0/5.0;2022;967020,6765;6446641,363;0;0
12.0/6.0;2022;967032,5809;6446642,347;0;0
12.0/9.0;2022;967067,9901;6446645,248;0;0
12.5/11.5;2022;967098,0554;6446642,347;0;1
12.5/12.5;2022;967108,9678;6446643,332;0;0
12.5/14.5;2022;967132,7767;6446645,301;0;1
12.5/15.5;2022;967144,6811;6446646,285;0;0
12.5/16.5;2022;967156,5856;6446647,269;0;1
12.5/17.5;2022;967168,49;6446648,254;0;1
12.5/2.5;2022;966991,9074;6446633,487;0;0
12.5/8.5;2022;967062,342;6446639,394;0;0
12.5/9.5;2022;967074,2465;6446640,378;0;0
13.0/1.0;2022;966974,0507;6446625,612;0;1
13.0/10.0;2022;967080,1987;6446634,472;0;0
